Nome do jogador,Posição do jogador,Minutos jogados,Gols feitos,Assistências,Gols + Assistências,Gols normais (exceto pênaltis),Gols esperados,Gols normais esperados (exceto pênaltis),Assistências esperadas,Gols esperados + Assistências esperadas (exceto pênaltis),Conduções progressivas,Passes progressivos,Passes progressivos recebidos,Gols por 90 minutos,Assistências por 90 minutos,Gols + Assistências por 90 minutos,Gols normais por 90 minutos,Gols + Assistências exceto pênaltis por 90 minutos,Gols esperados por 90 minutos,Assistências esperadas por 90 minutos,Gols + Assistências esperadas por 90 minutos,Gols normais + Assistências esperadas por 90 minutos,Total de chutes,Chutes a gol,Porcentagem de Chutes a gol,Chutes por 90 minutos,Chutes a gol por 90 minutos,Gols por chute,Gols por chute a gol,Distância média das finalizações,Chutes de falta,Pênaltis batidos,Gols normais esperados por chute,Diferença entre Gols e Gols Esperados (G-xG),Diferença entre Gols normais e Gols Esperados (G-xG),Passes concluídos,Passes tentados,Porcentagem de conclusão de passes,Distância total dos passes,Distância progressiva dos passes,Passes curtos concluídos,Passes curtos tentados,Porcentagem de passes curtos concluídos,Passes médios concluídos,Passes médios tentados,Porcentagem de passes médios concluídos,Passes longos concluídos,Passes longos tentados,Porcentagem de passes longos concluídos,Expectativa de assistencias,Assistencias menos gol assistidos esperados,Passes importantes,Passes no terço final,Passes para a área de pênalti,Cruzamentos para a área de pênalti,Passes em jogo,Passes de bola parada,Passes de bola parada (falta),Passes entre os zagueiros,Passes de reversão (mais de 40 jardas),Cruzamentos,Passes concluídos (tipo),Ações que levam a chutes,Ações que levam a chutes por 90 minutos,Passes em jogo que levam a chutes,Passes de bola parada que levam a chutes,Faltas ganhas que levam a chutes,Chutes que levam a outros chutes,Faltas que levam a chutes,Ações defensivas que levam a chutes,Ações que levam a gols,Ações que levam a gols por 90 minutos,Passes em jogo que levam a gols,Passes de bola parada que levam a gols,Faltas ganhas que levam a gols,Chutes que levam a gols,Faltas que levam a gols,Ações defensivas que levam a gols,Botes defensivos,Botes com recuperação de posse,Botes no terço defensivo,Botes no terço médio,Botes no terço ofensivo,Dribles defendidos,Tentativas de desarme,Porcentagem de desarmes bem-sucedidos,Tentativas frustradas de desarme,Bolas bloqueadas,Chutes bloqueados,Passes bloqueados,Interceptações,Botes + Interceptações,Cortes,Erros que levaram a chutes adversários,Toques na bola,Toques na área defensiva,Toques no terço defensivo,Toques no terço médio,Toques no terço ofensivo,Toques na área ofensiva,Toques com bola em jogo,Tentativas de drible,Dribles bem-sucedidos,Porcentagem de dribles bem-sucedidos,Vezes desarmado durante o drible,Porcentagem de vezes que foi desarmado,Conduções,Distância total das conduções,Distância progressiva das conduções,Conduções para o terço final,Conduções para a área de pênalti,Passes recebidos,Faltas sofridas,Recuperações de bola,Disputas aéreas vencidas,Disputas aéreas perdidas,Porcentagem de disputas aéreas vencidas
Néstor Araujo,Defensor,834,0,2,2,0,0.3,0.3,1.0,1.2,3,19,0,0.0,0.22,0.22,0.0,0.22,0.03,0.1,0.13,0.13,7,3,42.9,0.76,0.32,0.0,0.0,17.3,0,0,0.04,-0.3,-0.3,352,420,83.8,6518,2592,127,142,89.4,195,218,89.4,26,50,52.0,0.1,1.0,7,8,1,0,412,8,8,0,0,0,352,7,0.76,5,0,0,2,0,0,2,0.22,0,0,0,2,0,0,12,9,9,3,0,7,8,87.5,1,10,7,3,11,23,44,0,515,71,310,199,11,7,515,1,1,100.0,0,0.0,290,1552,785,1,0,305,1,29,32,12,72.7
Fernando Arce Jr.,Meio-campista,684,2,0,2,2,1.7,1.7,0.3,2.0,3,20,5,0.26,0.0,0.26,0.26,0.26,0.23,0.03,0.26,0.26,9,5,55.6,1.18,0.66,0.22,0.4,14.7,0,0,0.19,0.3,0.3,156,204,76.5,2721,1053,76,86,88.4,56,74,75.7,19,36,52.8,0.1,-0.3,8,17,0,0,195,9,9,0,2,4,156,7,0.92,5,1,0,0,0,1,0,0.0,0,0,0,0,0,0,13,11,8,5,0,4,7,57.1,3,7,2,5,13,26,13,0,275,15,85,158,35,8,275,3,0,0.0,3,100.0,97,461,194,6,1,143,3,21,6,6,50.0
Ramiro Árciga,Meio-campista,639,0,0,0,0,0.9,0.9,2.0,2.9,32,29,94,0.0,0.0,0.0,0.0,0.0,0.12,0.29,0.41,0.41,14,4,28.6,1.97,0.56,0.0,0.0,21.2,0,0,0.06,-0.9,-0.9,217,300,72.3,3636,871,104,125,83.2,86,110,78.2,17,30,56.7,1.8,-2.0,15,9,15,4,289,11,1,4,2,37,217,27,3.8,26,0,0,0,1,0,0,0.0,0,0,0,0,0,0,22,14,6,10,6,5,15,33.3,10,19,1,18,1,23,1,0,408,3,40,137,235,32,408,23,5,21.7,18,78.3,267,1704,763,25,9,292,7,36,2,7,22.2
Gerardo Arteaga,Defensor,578,0,0,0,0,0.2,0.2,0.6,0.7,10,28,32,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.11,0.11,3,1,33.3,0.47,0.16,0.0,0.0,19.4,0,0,0.05,-0.2,-0.2,275,324,84.9,4570,1701,149,159,93.7,96,117,82.1,25,35,71.4,0.6,-0.6,6,24,6,6,275,49,3,0,3,19,275,12,1.87,11,0,1,0,0,0,0,0.0,0,0,0,0,0,0,16,12,9,7,0,9,11,81.8,2,10,1,9,9,25,10,0,402,19,94,189,124,6,402,10,6,60.0,3,30.0,214,1059,628,11,3,243,6,29,9,2,81.8
Víctor Arteaga,Meio-campista,353,0,1,1,0,0.0,0.0,0.0,0.1,4,19,4,0.0,0.25,0.25,0.0,0.25,0.01,0.01,0.02,0.02,1,0,0.0,0.25,0.0,0.0,0.0,27.8,0,0,0.03,0.0,0.0,165,188,87.8,3276,864,58,68,85.3,83,86,96.5,22,30,73.3,0.1,1.0,1,14,1,0,184,4,2,0,4,2,165,6,1.53,4,0,1,0,0,1,0,0.0,0,0,0,0,0,0,9,7,5,3,1,6,9,66.7,3,2,1,1,8,17,5,0,220,4,61,136,27,1,220,4,2,50.0,2,50.0,141,667,326,4,0,162,2,18,2,4,33.3
Ali Ávila,Atacante,85,0,0,0,0,0.1,0.1,0.3,0.4,3,8,10,0.0,0.0,0.0,0.0,0.0,0.08,0.33,0.4,0.4,1,0,0.0,1.06,0.0,0.0,0.0,9.1,0,0,0.07,-0.1,-0.1,28,36,77.8,449,120,15,17,88.2,11,13,84.6,1,1,100.0,0.1,-0.3,4,3,1,0,36,0,0,0,0,1,28,5,5.29,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0,54,0,3,26,26,6,54,6,1,16.7,5,83.3,36,107,44,1,1,39,2,10,1,5,16.7
Ettson Ayon,Atacante,123,0,0,0,0,0.0,0.0,0.0,0.0,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,14,24,58.3,160,28,7,10,70.0,4,6,66.7,0,2,0.0,0.0,0.0,0,1,0,0,20,4,0,0,0,1,14,1,0.73,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,2,1,0,0,2,0,0,0.0,0,0,0,0,0,2,0,0,36,0,2,15,19,3,36,3,2,66.7,1,33.3,24,174,58,1,1,27,2,4,2,4,33.3
Tomás Badaloni,Atacante,111,1,0,1,1,0.5,0.5,0.1,0.6,2,7,5,0.81,0.0,0.81,0.81,0.81,0.38,0.08,0.45,0.45,5,3,60.0,4.05,2.43,0.2,0.33,15.9,0,0,0.09,0.5,0.5,21,31,67.7,321,119,10,14,71.4,9,12,75.0,1,1,100.0,0.0,-0.1,2,1,0,0,28,3,0,0,0,0,21,6,4.86,4,0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,2,2,0,2,2,1,0,50,4,5,20,26,3,50,0,0,0.0,0,0.0,18,82,40,2,0,32,0,3,10,8,55.6
Claudio Baeza,Meio-campista,553,0,1,1,0,0.2,0.2,0.6,0.9,3,23,2,0.0,0.16,0.16,0.0,0.16,0.04,0.1,0.14,0.14,4,1,25.0,0.65,0.16,0.0,0.0,21.8,0,0,0.06,-0.2,-0.2,262,293,89.4,5171,1752,89,96,92.7,133,140,95.0,36,51,70.6,0.3,0.4,2,22,5,1,287,6,5,0,8,1,262,5,0.81,5,0,0,0,0,0,2,0.33,2,0,0,0,0,0,7,3,3,4,0,4,15,26.7,11,7,3,4,10,17,10,1,342,18,123,193,29,3,342,3,2,66.7,1,33.3,213,904,358,2,0,239,4,31,2,4,33.3
Kevin Balanta,Defensor,490,0,0,0,0,0.1,0.1,0.0,0.1,5,14,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,3,1,33.3,0.55,0.18,0.0,0.0,12.9,0,0,0.03,-0.1,-0.1,303,348,87.1,5580,2179,119,128,93.0,153,166,92.2,29,44,65.9,0.0,0.0,1,17,0,0,335,12,10,0,4,1,303,3,0.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,12,7,7,5,0,8,9,88.9,1,4,2,2,6,18,24,1,410,34,218,186,14,4,410,3,2,66.7,1,33.3,245,1184,702,6,0,263,1,44,9,7,56.3
Fidel Barajas,Meio-campista,70,0,0,0,0,0.1,0.1,0.0,0.1,5,1,21,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.12,3,1,33.3,3.86,1.29,0.0,0.0,22.3,0,0,0.03,-0.1,-0.1,22,32,68.8,274,36,15,18,83.3,6,10,60.0,0,2,0.0,0.0,0.0,1,1,0,0,32,0,0,0,0,4,22,2,2.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,49,0,1,15,33,2,49,5,1,20.0,4,80.0,38,326,125,3,2,38,1,4,2,2,50.0
Víctor Barajas,Defensor,2,0,0,0,0,0.0,0.0,0.0,0.0,2,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,4,0.0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0,0,0,0,4,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,5,0,0,1,4,0,5,1,1,100.0,0,0.0,3,39,21,0,0,4,0,0,0,0,0.0
Diego Barbosa,Defensor,122,0,0,0,0,0.0,0.0,0.0,0.0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,51,64,79.7,859,306,22,22,100.0,22,26,84.6,3,12,25.0,0.0,0.0,0,4,0,0,52,12,0,0,0,1,51,1,0.74,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,3,1,3,0,0,3,5,60.0,2,0,0,0,2,5,3,0,73,3,30,34,9,0,73,0,0,0.0,0,0.0,32,132,72,1,0,37,1,5,1,1,50.0
Jaine Barreiro,Defensor,877,1,0,1,1,0.9,0.9,0.1,1.0,6,33,1,0.1,0.0,0.1,0.1,0.1,0.1,0.01,0.1,0.1,7,3,42.9,0.72,0.31,0.14,0.33,12.4,0,0,0.13,0.1,0.1,419,529,79.2,9332,4738,128,145,88.3,206,237,86.9,84,142,59.2,0.1,-0.1,1,49,0,0,479,49,23,1,13,2,419,10,1.03,7,2,1,0,0,0,2,0.21,1,1,0,0,0,0,15,7,9,5,1,8,14,57.1,6,11,5,6,16,31,43,0,639,94,340,276,27,10,639,3,1,33.3,2,66.7,346,1927,1164,4,0,382,8,40,27,15,64.3
Pablo Barrera,Meio-campista,857,1,0,1,1,0.5,0.5,0.7,1.2,16,21,47,0.11,0.0,0.11,0.11,0.11,0.05,0.07,0.12,0.12,10,2,20.0,1.05,0.21,0.1,0.5,20.9,1,0,0.05,0.5,0.5,216,330,65.5,3559,996,118,141,83.7,66,97,68.0,24,66,36.4,1.0,-0.7,16,13,7,4,279,47,16,0,4,58,216,28,2.94,17,8,2,1,0,0,1,0.11,1,0,0,0,0,0,7,5,2,4,1,3,16,18.8,13,6,1,5,3,10,2,1,401,3,50,177,184,12,401,24,9,37.5,12,50.0,222,1462,591,17,3,266,12,48,3,10,23.1
Sergio Barreto,Defensor,767,0,1,1,0,0.3,0.3,0.2,0.5,1,14,0,0.0,0.12,0.12,0.0,0.12,0.03,0.03,0.06,0.06,2,0,0.0,0.23,0.0,0.0,0.0,6.6,0,0,0.14,-0.3,-0.3,320,386,82.9,6218,2577,81,98,82.7,213,228,93.4,24,51,47.1,0.1,0.8,4,9,1,0,362,22,17,0,2,0,320,6,0.7,5,1,0,0,0,0,2,0.23,2,0,0,0,0,0,10,7,7,3,0,6,12,50.0,6,6,2,4,9,19,42,0,480,45,287,183,11,8,480,1,0,0.0,1,100.0,203,841,443,0,0,262,4,21,26,10,72.2
Abraham Bass,Meio-campista,10,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,1,100.0,12,0,1,1,100.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,3,0,1,1,1,0,3,0,0,0.0,0,0.0,1,1,0,0,0,2,1,0,0,0,0.0
Borja Bastón,Atacante,268,0,0,0,0,1.5,0.7,0.0,0.7,1,1,6,0.0,0.0,0.0,0.0,0.0,0.49,0.01,0.5,0.24,3,0,0.0,1.01,0.0,0.0,0.0,15.2,0,1,0.22,-1.5,-0.7,26,36,72.2,335,21,15,15,100.0,9,11,81.8,0,2,0.0,0.0,0.0,1,0,0,0,31,5,0,0,0,2,26,2,0.67,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,1,2,0,0,6,0,62,6,8,39,16,6,61,2,0,0.0,2,100.0,33,100,25,2,0,37,2,5,4,16,20.0
Alán Bautista,Meio-campista,380,1,0,1,1,0.4,0.4,1.0,1.4,8,18,27,0.24,0.0,0.24,0.24,0.24,0.09,0.24,0.33,0.33,5,2,40.0,1.18,0.47,0.2,0.5,17.1,0,0,0.08,0.6,0.6,113,148,76.4,1965,457,52,62,83.9,51,65,78.5,9,14,64.3,0.8,-1.0,12,13,4,0,130,16,5,1,2,9,113,19,4.5,12,5,0,0,1,1,1,0.24,0,1,0,0,0,0,4,3,1,2,1,2,4,50.0,2,2,1,1,4,8,4,0,198,3,21,104,75,11,198,9,2,22.2,7,77.8,120,668,312,5,2,131,5,18,2,2,50.0
Paul Bellón,Defensor,900,0,0,0,0,0.5,0.5,0.1,0.7,4,21,1,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.07,5,1,20.0,0.5,0.1,0.0,0.0,11.0,0,0,0.11,-0.5,-0.5,402,470,85.5,8530,2840,92,101,91.1,248,270,91.9,58,92,63.0,0.0,-0.1,1,18,0,0,447,23,13,0,1,0,402,2,0.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,18,8,12,6,0,8,18,44.4,10,7,3,4,14,32,42,1,572,64,310,250,15,5,572,3,2,66.7,1,33.3,299,1234,608,3,0,347,2,33,26,16,61.9
Fernando Beltrán,Meio-campista,771,1,1,2,1,0.5,0.5,1.1,1.7,25,58,51,0.12,0.12,0.23,0.12,0.23,0.06,0.13,0.19,0.19,11,5,45.5,1.28,0.58,0.09,0.2,24.0,0,0,0.05,0.5,0.5,328,407,80.6,5480,1716,164,182,90.1,126,155,81.3,29,52,55.8,1.8,-0.1,12,48,11,4,388,17,9,4,3,24,328,26,3.04,21,3,1,0,1,0,2,0.23,2,0,0,0,0,0,19,12,5,11,3,9,12,75.0,3,3,0,3,3,22,7,0,507,8,52,319,146,13,507,31,13,41.9,17,54.8,366,1887,875,17,3,393,18,41,2,3,40.0
Darío Benedetto,Atacante,54,0,0,0,0,0.1,0.1,0.5,0.6,1,3,6,0.0,0.0,0.0,0.0,0.0,0.16,0.9,1.06,1.06,4,1,25.0,6.67,1.67,0.0,0.0,20.7,0,0,0.02,-0.1,-0.1,12,20,60.0,296,88,4,4,100.0,5,8,62.5,3,5,60.0,0.4,-0.5,1,3,1,0,20,0,0,0,2,1,12,3,5.0,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,33,3,5,15,14,6,33,1,0,0.0,1,100.0,16,92,34,1,1,22,2,3,2,2,50.0
Pablo Bennevendo Peña,Defensor,728,0,0,0,0,0.4,0.4,0.2,0.7,5,18,22,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.08,2,0,0.0,0.25,0.0,0.0,0.0,13.8,0,0,0.22,-0.4,-0.4,272,349,77.9,4939,1947,122,129,94.6,120,144,83.3,28,63,44.4,0.6,-0.2,5,24,0,0,269,79,7,0,2,8,272,8,0.99,6,1,0,1,0,0,0,0.0,0,0,0,0,0,0,20,10,7,9,4,8,19,42.1,11,14,4,10,15,35,19,0,440,22,144,215,86,9,440,9,6,66.7,2,22.2,199,872,395,9,1,210,10,27,5,11,31.3
Jorge Berlanga,Defensor,304,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,97,115,84.3,1888,649,31,35,88.6,56,59,94.9,9,18,50.0,0.0,0.0,1,7,2,1,103,12,3,0,1,1,97,1,0.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7,6,7,0,0,2,5,40.0,3,2,2,0,9,16,13,0,147,16,85,57,7,1,147,1,1,100.0,0,0.0,73,383,127,1,0,86,0,7,3,1,75.0
Germán Berterame,Atacante,753,5,0,5,5,4.1,3.9,0.9,4.8,8,15,34,0.6,0.0,0.6,0.6,0.6,0.49,0.11,0.59,0.57,22,12,54.5,2.63,1.43,0.23,0.42,15.3,0,0,0.18,0.9,1.1,143,184,77.7,1984,364,80,104,76.9,43,46,93.5,8,9,88.9,0.3,-0.9,8,9,2,0,168,14,0,0,1,1,143,19,2.27,17,0,0,1,1,0,1,0.12,1,0,0,0,0,0,9,6,1,7,1,3,5,60.0,2,5,1,4,3,12,7,0,268,8,20,134,118,36,268,13,4,30.8,8,61.5,151,710,280,6,2,185,9,18,7,19,26.9
Unai Bilbao,Defensor,556,0,1,1,0,0.0,0.0,0.3,0.3,3,14,0,0.0,0.16,0.16,0.0,0.16,0.01,0.04,0.05,0.05,2,0,0.0,0.32,0.0,0.0,0.0,24.6,0,0,0.02,0.0,0.0,424,474,89.5,8384,3183,133,140,95.0,244,264,92.4,47,67,70.1,0.1,0.7,2,26,0,0,425,49,14,0,4,0,424,4,0.65,3,0,0,0,0,1,1,0.16,1,0,0,0,0,0,13,7,9,3,1,4,9,44.4,5,10,3,7,20,33,46,0,565,89,324,237,10,1,565,2,1,50.0,1,50.0,335,1594,705,2,0,354,1,22,11,7,61.1
Domingo Blanco,Atacante,554,2,0,2,2,1.7,1.7,0.3,2.0,21,15,55,0.32,0.0,0.32,0.32,0.32,0.28,0.04,0.32,0.32,15,5,33.3,2.44,0.81,0.13,0.4,17.4,0,0,0.11,0.3,0.3,108,149,72.5,1633,461,64,77,83.1,39,53,73.6,4,9,44.4,0.5,-0.3,4,3,6,1,130,16,2,0,0,13,108,17,2.76,10,2,3,0,2,0,2,0.32,0,0,1,0,1,0,15,6,2,9,4,5,8,62.5,3,3,0,3,5,20,0,0,244,1,19,80,145,32,244,26,12,46.2,13,50.0,160,1128,556,5,16,156,13,16,0,5,0.0
Franck Boli,Atacante,542,4,0,4,3,4.3,3.5,0.2,3.7,10,9,33,0.66,0.0,0.66,0.5,0.5,0.72,0.03,0.74,0.61,22,8,36.4,3.65,1.33,0.14,0.38,13.7,0,1,0.16,-0.3,-0.5,68,82,82.9,1091,174,35,44,79.5,30,34,88.2,2,3,66.7,0.1,-0.2,4,3,1,0,68,14,1,0,0,0,68,13,2.16,6,2,2,3,0,0,3,0.5,1,0,0,2,0,0,4,0,1,1,2,1,2,50.0,1,0,0,0,2,6,4,0,160,4,7,66,90,37,159,20,4,20.0,16,80.0,99,604,197,6,9,121,9,21,7,13,35.0
Léo Bonatini,Atacante,441,2,0,2,1,2.4,1.6,0.3,1.8,3,9,19,0.41,0.0,0.41,0.2,0.2,0.48,0.05,0.53,0.37,10,3,30.0,2.04,0.61,0.1,0.33,13.7,0,1,0.16,-0.4,-0.6,82,109,75.2,1262,245,47,58,81.0,29,37,78.4,4,6,66.7,0.2,-0.3,2,8,1,0,100,9,0,0,0,2,82,8,1.63,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,2,0.0,2,3,0,3,2,3,3,0,154,4,14,73,68,22,153,8,3,37.5,4,50.0,84,379,151,3,3,109,4,11,2,4,33.3
Cristian Borja,Defensor,389,0,0,0,0,0.0,0.0,0.4,0.5,15,14,26,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.11,1,1,100.0,0.23,0.23,0.0,0.0,10.1,0,0,0.04,0.0,0.0,182,223,81.6,3091,784,91,102,89.2,70,80,87.5,15,27,55.6,0.1,-0.4,2,12,3,2,179,44,7,0,1,13,182,5,1.16,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,10,8,8,2,0,4,6,66.7,2,4,0,4,7,17,7,0,260,6,68,120,77,5,260,5,4,80.0,1,20.0,153,837,461,9,3,155,0,14,3,4,42.9
Antonio Briseño,Defensor,540,0,1,1,0,0.2,0.2,0.8,1.0,1,13,0,0.0,0.17,0.17,0.0,0.17,0.03,0.14,0.17,0.17,5,0,0.0,0.83,0.0,0.0,0.0,11.2,0,0,0.03,-0.2,-0.2,219,263,83.3,4260,2002,64,72,88.9,138,153,90.2,15,33,45.5,0.5,0.2,3,10,0,0,252,9,9,0,0,0,219,7,1.17,6,0,0,0,1,0,2,0.33,1,0,0,0,1,0,8,7,6,2,0,5,8,62.5,3,7,7,0,11,19,21,1,318,47,177,136,6,6,318,2,1,50.0,0,0.0,192,751,422,0,0,190,6,18,20,12,62.5
Isaác Brizuela,Meio-campista,30,0,0,0,0,0.0,0.0,0.1,0.1,2,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.42,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,5,9,55.6,99,11,3,4,75.0,1,1,100.0,1,2,50.0,0.1,-0.1,1,0,0,0,9,0,0,0,0,1,5,1,3.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,15,0,2,3,10,3,15,2,1,50.0,1,50.0,11,48,32,0,1,11,0,0,0,3,0.0
Juan Brunetta,Meio-campista,369,1,0,1,1,1.3,1.3,0.5,1.8,14,19,37,0.24,0.0,0.24,0.24,0.24,0.31,0.12,0.43,0.43,13,3,23.1,3.17,0.73,0.08,0.33,20.0,1,0,0.1,-0.3,-0.3,136,176,77.3,2582,606,65,68,95.6,43,54,79.6,24,43,55.8,0.5,-0.5,7,21,3,1,151,25,2,0,6,29,136,16,3.91,12,4,0,0,0,0,3,0.73,3,0,0,0,0,0,4,4,1,3,0,2,2,100.0,0,3,0,3,0,4,0,0,221,1,18,99,110,18,221,14,5,35.7,9,64.3,148,943,439,9,5,161,5,21,0,1,0.0
Gustavo Cabral,Defensor,484,0,0,0,0,0.1,0.1,0.0,0.1,3,17,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,2,0,0.0,0.37,0.0,0.0,0.0,16.2,0,0,0.03,-0.1,-0.1,233,264,88.3,4726,1692,62,69,89.9,142,147,96.6,28,45,62.2,0.0,0.0,0,11,0,0,254,9,9,0,0,0,233,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,2,2,2,0,3,6,50.0,3,3,0,3,9,13,26,0,316,32,153,159,6,4,316,1,0,0.0,1,100.0,183,867,451,3,0,189,1,27,17,4,81.0
Luciano Cabral,Atacante,527,0,2,2,0,0.2,0.2,1.6,1.8,7,45,36,0.0,0.34,0.34,0.0,0.34,0.04,0.27,0.3,0.3,4,0,0.0,0.68,0.0,0.0,0.0,17.5,0,0,0.05,-0.2,-0.2,200,275,72.7,3300,1223,98,116,84.5,69,87,79.3,21,42,50.0,1.5,0.4,14,26,7,0,253,21,7,2,1,17,200,25,4.27,16,5,1,0,3,0,3,0.51,3,0,0,0,0,0,6,1,2,4,0,5,12,41.7,7,9,0,9,1,7,3,0,330,6,37,185,114,5,330,16,8,50.0,8,50.0,166,791,388,9,0,226,7,28,5,9,35.7
Sebastián Cáceres,Defensor,117,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,53,65,81.5,990,392,21,21,100.0,24,27,88.9,7,16,43.8,0.0,0.0,0,2,0,0,62,3,3,0,1,1,53,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1,2,1,0,1,1,100.0,0,1,1,0,2,5,1,0,78,4,42,35,2,0,78,1,1,100.0,0,0.0,43,212,116,0,0,49,1,3,4,8,33.3
Jhonder Cádiz,Atacante,653,5,0,5,4,4.9,4.1,0.4,4.5,9,9,40,0.69,0.0,0.69,0.55,0.55,0.67,0.05,0.73,0.62,28,13,46.4,3.86,1.79,0.14,0.31,15.7,0,1,0.15,0.1,-0.1,82,136,60.3,1307,273,46,68,67.6,28,41,68.3,6,16,37.5,0.3,-0.4,10,7,2,1,114,22,0,1,2,4,82,25,3.45,15,0,3,2,5,0,1,0.14,0,0,0,0,1,0,9,6,1,2,6,5,6,83.3,1,4,1,3,1,10,7,0,214,8,11,103,101,39,213,10,5,50.0,5,50.0,119,600,253,7,5,149,15,11,19,29,39.6
José Caicedo,Meio-campista,879,0,1,1,0,0.7,0.7,0.6,1.3,5,77,15,0.0,0.1,0.1,0.0,0.1,0.07,0.06,0.13,0.13,13,5,38.5,1.33,0.51,0.0,0.0,23.0,0,0,0.05,-0.7,-0.7,445,533,83.5,8260,2699,196,221,88.7,177,200,88.5,59,81,72.8,0.4,0.4,7,73,3,0,520,13,11,0,12,1,445,24,2.46,19,1,1,1,1,1,3,0.31,2,0,0,1,0,0,28,16,12,16,0,11,21,52.4,10,8,1,7,8,36,13,0,628,21,89,480,62,9,628,8,6,75.0,2,25.0,385,1571,746,10,1,438,13,53,14,9,60.9
Cristian Calderón,Defensor,560,0,0,0,0,0.1,0.1,0.3,0.4,5,23,27,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.07,1,1,100.0,0.16,0.16,0.0,0.0,28.7,1,0,0.07,-0.1,-0.1,330,400,82.5,5449,2202,150,162,92.6,138,161,85.7,29,54,53.7,0.3,-0.3,6,23,6,4,330,70,9,0,2,16,330,14,2.25,13,1,0,0,0,0,0,0.0,0,0,0,0,0,0,10,8,9,0,1,5,6,83.3,1,6,1,5,9,19,17,1,453,22,180,180,97,9,453,4,0,0.0,4,100.0,237,970,510,4,2,260,3,33,12,7,63.2
